,msno,is_churn,city,bd,gender,registered_via,registration_init_time
0,KQChsHhR1fUTZzE2Yw5Fe95WM2sYw1H8nqtjI1pn8B4=,0,4,27,male,9,2008-08-21
1,+99fNJ7lwiWtspk9jUy2jSEwbB9AaFOGWzR47RZtv9U=,0,1,0,,7,2016-06-07
2,hKKm8hMOfJdsSWB0MY0GYD2d8rjrjJYbN/vAfXrmxb8=,0,1,0,,7,2015-11-28
3,0GDIiFKxkTPgtTtpMBM/pMC8UL5gcY3yn0Fk5X1XLis=,0,1,0,,7,2017-02-15
4,R4CKZzUox0f8NyUbRfzws2fXIjM3V/i4q8COoBbSeSI=,0,22,27,male,7,2015-10-20
5,CCJLmuVV9nmpfVuhaZ3023Bje/UO2kaLc0J25kyS9Fk=,0,4,28,female,7,2012-11-06
6,wEbs2kPI37GVIzOs5vAFn281WFa6A/jvhDACAGffFfc=,0,1,0,,7,2013-03-13
7,a/hmxP3xypHG3kEO+tJ+wfM72bWnqwuT50NNjmc2wRM=,0,1,0,,7,2015-08-08
8,srkW10o4a0BrsL3s4Zw6SLD05GQdeK3lkWH6j1FdZ0g=,0,1,0,,7,2013-05-31
9,u7rWFg84DcFJua2FRiwJSe8yKIJpl70VBIt7lRFih0I=,1,22,26,female,7,2012-09-29
10,lUimdYt2lLywHLaKs3HAhBTHLmGiksvbP4sek4P/G0U=,0,1,0,,7,2016-01-22
11,bYbe8OwiK9xC3o8aEey0HQRLRYlEyS19R3axO7hboFs=,0,1,0,,7,2012-12-18
12,v0hzkAw93HLc4y/frlsCWs8aojZl9//IU1JACLtWwOc=,0,22,18,female,9,2011-10-30
13,hcAMh0B1EZdOme4uralUtVEZz5xm6Q8fVshYwwlRJe0=,0,1,0,,7,2016-01-20
14,UwncZfrV0inX9PrwhFub+xdZa0cx+5ym0yuJrHcCVbE=,0,13,31,male,9,2008-10-23
15,QoCc9LiyyiBiJ+R4k+zqJX0kaF/fapwSMiUDfuWIk/0=,0,17,24,female,9,2013-11-05
16,Rt+KDCuNxtVUCnSE1JLSaQY+HZXeSrl79rItBNm91M4=,1,6,27,male,9,2012-06-17
