,msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,Unnamed: 0,is_churn,city,bd,gender,registered_via,registration_init_time
0,/CQ/QEofoZl1RDyTxTiiqEPkyndOB8jmrVcfPWl3fSM=,39,30,149,149,1,2017-03-31,2017-05-12,0,8939,0,13,38,male,9,2011-02-19
1,/CQ/QEofoZl1RDyTxTiiqEPkyndOB8jmrVcfPWl3fSM=,39,30,149,149,1,2017-02-28,2017-04-12,0,8939,0,13,38,male,9,2011-02-19
2,/PhaKznHrHOIGcb+hrYFfjjHeyLelfWejGDbbaGpruQ=,41,30,99,99,1,2017-03-05,2017-04-04,0,4670,0,13,30,female,7,2010-08-18
3,/PhaKznHrHOIGcb+hrYFfjjHeyLelfWejGDbbaGpruQ=,41,30,99,99,1,2017-03-05,2017-03-05,1,4670,0,13,30,female,7,2010-08-18
4,/WNj5NAZ74mcdDcTVTjnshGiJbheNdHmoAzew/7AUQc=,41,30,149,149,1,2017-03-31,2017-04-30,0,14514,0,1,0,,7,2014-04-01
5,123uwg2TXBzzWK+CzULfvUWlrMaJy7OnuPTkCT53IYc=,41,30,99,99,1,2017-03-21,2017-04-21,0,1574,0,5,28,female,7,2013-12-10
6,1pPHZDja3LFxXySoctOEliLap1DzZxS4IAhGrsBVkW4=,41,30,100,100,1,2017-03-04,2017-04-04,0,10087,0,1,0,,7,2017-02-04
7,1v9V9o9p5EA68K2Q8NFZ3QeBZ97tQPvWOZ8VGj4GzM0=,41,30,129,129,1,2017-03-04,2017-04-06,0,14490,0,1,0,,7,2011-03-05
8,2v+wgRSQEjKdZVxMuc/cKiN2q5KX0wKGGN2BHIWO2jI=,36,30,180,180,1,2017-03-11,2017-04-10,0,4186,0,13,26,male,3,2012-03-20
9,6N/i/URMvLh7IxNqW+oKJrCqfvmNbvPxMJQ92aaBcxA=,38,30,149,149,0,2017-03-04,2017-07-15,0,13225,1,12,34,male,4,2016-08-15
10,6N/i/URMvLh7IxNqW+oKJrCqfvmNbvPxMJQ92aaBcxA=,38,30,149,149,0,2016-12-27,2017-04-16,0,13225,1,12,34,male,4,2016-08-15
11,6N/i/URMvLh7IxNqW+oKJrCqfvmNbvPxMJQ92aaBcxA=,38,30,149,149,0,2017-03-04,2017-05-16,0,13225,1,12,34,male,4,2016-08-15
12,6N/i/URMvLh7IxNqW+oKJrCqfvmNbvPxMJQ92aaBcxA=,38,30,149,149,0,2017-03-04,2017-06-15,0,13225,1,12,34,male,4,2016-08-15
13,6TnvGVKwjgMI6o+jn5wBCuMTn4Y8UxvI03K+2EQ4zBM=,41,30,149,149,1,2017-03-30,2017-03-30,1,9111,0,1,0,,7,2011-07-21
14,6TnvGVKwjgMI6o+jn5wBCuMTn4Y8UxvI03K+2EQ4zBM=,41,30,99,99,1,2017-03-30,2017-04-30,0,9111,0,1,0,,7,2011-07-21
15,6TnvGVKwjgMI6o+jn5wBCuMTn4Y8UxvI03K+2EQ4zBM=,41,30,149,149,1,2017-03-02,2017-04-02,0,9111,0,1,0,,7,2011-07-21
16,77RZBxCtcZevuPIL8CfVWpGqAcfnaCLgQma/xvrG3No=,41,30,99,99,1,2017-03-16,2017-04-16,0,13005,0,1,0,,7,2016-07-16
17,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-09-18,2017-10-17,0,16074,0,1,0,,7,2013-10-19
18,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-12-18,2018-04-19,0,16074,0,1,0,,7,2013-10-19
19,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-10-18,2017-11-17,0,16074,0,1,0,,7,2013-10-19
20,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-08-18,2017-08-18,0,16074,0,1,0,,7,2013-10-19
21,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-07-18,2017-05-17,0,16074,0,1,0,,7,2013-10-19
22,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-07-18,2017-06-17,0,16074,0,1,0,,7,2013-10-19
23,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-09-18,2017-09-17,0,16074,0,1,0,,7,2013-10-19
24,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-10-18,2017-12-18,0,16074,0,1,0,,7,2013-10-19
25,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-06-18,2017-04-16,0,16074,0,1,0,,7,2013-10-19
26,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-11-18,2018-01-17,0,16074,0,1,0,,7,2013-10-19
27,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2017-03-18,2017-04-18,0,16074,0,1,0,,7,2013-10-19
28,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-08-18,2017-07-18,0,16074,0,1,0,,7,2013-10-19
29,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-11-18,2018-02-16,0,16074,0,1,0,,7,2013-10-19
30,7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,2015-12-18,2018-03-19,0,16074,0,1,0,,7,2013-10-19
31,7O34b4Tsog6Larxg4h/fFwtnwWWhLNkxlD46gWrti5w=,37,30,149,149,1,2017-03-01,2017-03-31,0,5494,0,4,28,male,3,2015-01-23
32,80XCaFoSB4bHzQ3vdB/OFOPya2iI7YdcVR5DNUro1rY=,41,30,149,149,1,2017-03-11,2017-04-11,0,1022,0,14,23,female,7,2014-10-19
33,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-12-20,2018-11-22,0,11517,0,1,0,,7,2011-01-05
34,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-09-20,2018-05-22,0,11517,0,1,0,,7,2011-01-05
35,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-03-20,2017-05-21,0,11517,0,1,0,,7,2011-01-05
36,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-04-20,2017-07-20,0,11517,0,1,0,,7,2011-01-05
37,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-06-20,2017-11-19,0,11517,0,1,0,,7,2011-01-05
38,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-08-20,2018-02-20,0,11517,0,1,0,,7,2011-01-05
39,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-05-20,2017-09-20,0,11517,0,1,0,,7,2011-01-05
40,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-08-20,2018-03-23,0,11517,0,1,0,,7,2011-01-05
41,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-11-20,2018-09-21,0,11517,0,1,0,,7,2011-01-05
42,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-04-20,2017-06-20,0,11517,0,1,0,,7,2011-01-05
43,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-10-20,2018-07-23,0,11517,0,1,0,,7,2011-01-05
44,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2017-03-20,2017-04-20,0,11517,0,1,0,,7,2011-01-05
45,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-06-20,2017-10-20,0,11517,0,1,0,,7,2011-01-05
46,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-10-20,2018-06-22,0,11517,0,1,0,,7,2011-01-05
47,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-11-20,2018-08-22,0,11517,0,1,0,,7,2011-01-05
48,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-03-20,2017-04-20,0,11517,0,1,0,,7,2011-01-05
49,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-07-20,2017-12-20,0,11517,0,1,0,,7,2011-01-05
50,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-09-20,2018-04-22,0,11517,0,1,0,,7,2011-01-05
51,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-12-20,2018-10-22,0,11517,0,1,0,,7,2011-01-05
52,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-05-20,2017-08-20,0,11517,0,1,0,,7,2011-01-05
53,AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,2015-07-20,2018-01-20,0,11517,0,1,0,,7,2011-01-05
