msno,city,bd,gender,registered_via,registration_init_time
yLkV2gbZ4GLFwqTOXLVHz0VGrMYcgBGgKZ3kj9RiYu8=,4,30,male,9,20110916
oQCja0OLsoCRoltknOOcdk99Eb+GzOU3ck9Rkhk8ixY=,1,0,,7,20170101
14UsNUmAV8hPhH20iItmTwdj4WuPdSgl+IFxxYv2UAs=,13,26,female,9,20060904
U1sC/tbHj1wxzTlS1MSkkNebBe+1Tl1D7EQD2a1eohU=,4,28,female,9,20061107
UlMtrW+Fd1orwHKvujHcuLE7al80WF4Bw8C9ypL19HA=,13,35,female,9,20061120
iQyU+ZPerEmWCx0uv46m8C+vPKBiK9esX6sTTUMGfbg=,13,23,male,9,20070506
dVc1IuO62M/vHEQmdEbp39YOpD0psPprSataDWZDCZ8=,6,25,female,9,20110924
t02Zec0Lh4o3dW3lQqhKr4y0gdrbNSkls/mPLrucVyA=,13,23,male,3,20141022
4YWcHrVe6SCKTuUU2XLGHYTb69+WbSa/zqr983hI3DU=,11,30,female,9,20090202
HOxVYT1gUkAiFH0+LVNj3wfa6xn4mTstMkJT1IJjY+A=,1,0,,7,20140331
GHY92j5HxeUQ2q/QY8Uh0EGzkkI5ZXq/0KBeHtnEG2o=,4,38,female,3,20141202
VBrtgYjjH5+1loFBItAvkxsq4H+w0bkkjCLYJqOjf64=,1,0,,7,20110302
eu55FghDUUnda1gGKLQavU+HT7RYb3l3t6PTwincCAo=,1,17,female,4,20170101
/xUCdG/8gbaHBi6oWzphaLLwiJcw8k258ykOgk+1dzI=,1,0,,7,20170125
5zpSPzy1lcRJrXCScVXDWiJSKHFhzKz3kGsTCAhRff0=,1,0,,7,20160715
WaXUTLt4sir3wAO+Obf+u4bOWcY9eV8mPHRJc+t04Rs=,13,31,female,4,20161012
MxUhhlWLmttJ4oWffxGIdLQfsqebPRfC+xPlMIxQVwE=,3,41,female,7,20161020
f8WPk1p0o5SLQ9FImJ4etDuCCk18k9XQZcrYBTk1diM=,4,21,male,4,20161030
cHLEilXfiRqJ0dJrwsjHKGDFhlx3Ns42Z0wTBzqGRGI=,22,53,female,9,20100331
FjDbX1woQazoWCxlqyH+3u6t45IiI7SH3l0EcD0EI/k=,4,27,male,9,20101222
2+MI4jUTwoWDATqg8P6KTnVQ7tq9X95PJyX4sOfecHA=,14,25,female,9,20110331
0OlhjlJEcl5byh7W9rNjzYBlKYLYI9kHK0+4Ik74S7k=,4,0,,7,20120303
+JHy+cVx6Wd/DkTx3HQugSVLA1wzVOMCqwm1a96yncY=,1,0,,7,20120309
c92vI8Qn+5JYzcleKpUL5nEHfdyDD0+ibXEybL4NzFs=,14,23,female,9,20120406
M+npTiYRlt5ePZ9wcAV0519orCbrwxpyrL+U0FeX65c=,3,38,male,9,20131123
Xx0nh580lW/JXULf87da4ENXL1tMNmwhfIMC+l9Mq0s=,5,32,female,7,20130919
KX80yxfjHoRuymV10F5oFuhKsL8cJpyUAzZ9OSUEXtA=,1,0,,7,20150815
4Ti3Yg+tgBxg86+Arqb+ifSVa5Gq8fW/4h5gPEGoKNU=,8,33,female,3,20150816
8/77Qv7H3WlCbDnecWEQmmmnSgOHU9/MLU0Q5iE/mQ0=,1,0,,7,20101104
fmOWu3YB7PCVwlCcdmHlWoC97eDyW7L8exjUN4Xa+zE=,1,0,,7,20101206
lNeOiuvoHXjtoDRKM/mwTEpfaaBP4wvdZlsrXmu52OE=,5,0,,7,20101211
WDXn2ivtCSw69XyWKNUOAngFFNPkLqcN9gkgH2R0KfU=,1,0,,7,20110211
wYQmGM19NZsvY4Sd0/oCOMf3DojJm+/A1fv/1Q5qDZM=,18,44,female,9,20060830
/Zv2+8O4+V/738HEagSzaVXm5dt30uZO5xvfidZjUdk=,4,27,female,9,20060926
cdtirf+pfg+ZRKvvnsu8o82EhMwVQK6v63p6IbXRaRs=,8,48,male,9,20070310
dmZtd5+lqY2kWlX5jV7/A2RD3QZB6/tPecleO/xSkVA=,1,0,,7,20140601
kibyY04WwuSCurKyPha8tIdg9abf61LDm9lfLdjGNLM=,13,0,,9,20150409
v2Bp5ykYjYg99Y0lKgkpfCMuT1dJFxxyjoSQsUpdO6g=,1,0,,7,20161119
yn1zl7R7yZg1CSMF05UE713NhRnBFdJUYn6elY98ccM=,1,0,,7,20161126
arlZAw/cAFu+GWfLcfLyPBb9vzeFhxSSNg9eVL2e99o=,14,0,,3,20140604
HWNmpenli2LVoyCwqU7UkLIf5fWS2/M3/2uH0hc2mfE=,1,0,,7,20170124
PfPR2cL31Gc+2MEBjAtnOjDQS2q7mu76oVTrtGA6A6I=,1,0,,7,20170219
qIrncqLHvdbNjSMvi87vgVPaElycfUEbM9t4QQdbPTE=,1,0,,7,20100328
jlz2aM3Fp6/1QztmSPqjO5+DsChHQslVwn9qJEAsNuY=,6,28,female,9,20100513
m3NU/JmYQMYUCPVvt9ioWBGarCGt1I8lgD7l+fRjgiQ=,13,26,female,3,20150903
1/EMQII1baXP3uIZ1fnCjuMtJQURG9qWFjIl8MK2NCA=,1,0,,7,20150903
KvQkyaGNiUORh/uooLuWYXkvS1kegtmbpbTP7tpmWRw=,1,0,,7,20170108
PMFcXigf3JMdst4NJjklEW2ibVYfRjCBwjyZMZeLYYU=,1,0,,7,20170214
GTb8w3H+JkjbtQZVi603e9+19u5LepfsD22BA8UUofY=,21,27,male,7,20161229
0d4m6vQDuSYL3z2T+wDPtSAVbNEQkj2tjd0ZxmOKRqc=,5,35,male,9,20110714
ogF3KDM5N7lOYh4P6vHCENpwYWIUz2Bz1XNkQzvKxxM=,1,0,,4,20170106
Oyp3KlKRqnSgKQYXfJL3zM9I/Tl67pdfXYCKeT6Ekss=,1,0,,7,20170108
