msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
+vT9Q27OExl3SBsFN6c4qUu4JvqCpRMh8bCYTXr79xk=,41,30,99,99,1,20170312,20170412,0
/CQ/QEofoZl1RDyTxTiiqEPkyndOB8jmrVcfPWl3fSM=,39,30,149,149,1,20170331,20170512,0
/PhaKznHrHOIGcb+hrYFfjjHeyLelfWejGDbbaGpruQ=,41,30,99,99,1,20170305,20170404,0
/WNj5NAZ74mcdDcTVTjnshGiJbheNdHmoAzew/7AUQc=,41,30,149,149,1,20170331,20170430,0
0vd9MiumUNHgTbRS1KIHA+EivDkWZifAijU+ANsLwtI=,41,30,149,149,1,20170326,20170426,0
123uwg2TXBzzWK+CzULfvUWlrMaJy7OnuPTkCT53IYc=,41,30,99,99,1,20170321,20170421,0
1pPHZDja3LFxXySoctOEliLap1DzZxS4IAhGrsBVkW4=,41,30,100,100,1,20170304,20170404,0
1v9V9o9p5EA68K2Q8NFZ3QeBZ97tQPvWOZ8VGj4GzM0=,41,30,129,129,1,20170304,20170406,0
2v+wgRSQEjKdZVxMuc/cKiN2q5KX0wKGGN2BHIWO2jI=,36,30,180,180,1,20170311,20170410,0
6N/i/URMvLh7IxNqW+oKJrCqfvmNbvPxMJQ92aaBcxA=,38,30,149,149,0,20170304,20170715,0
6TnvGVKwjgMI6o+jn5wBCuMTn4Y8UxvI03K+2EQ4zBM=,41,30,149,149,1,20170330,20170330,1
77RZBxCtcZevuPIL8CfVWpGqAcfnaCLgQma/xvrG3No=,41,30,99,99,1,20170316,20170416,0
7LDhjTAs88yKDTVoygmFkXyWP5CaZY6grnwhWAQJgao=,41,30,149,149,1,20150918,20171017,0
7O34b4Tsog6Larxg4h/fFwtnwWWhLNkxlD46gWrti5w=,37,30,149,149,1,20170301,20170331,0
80XCaFoSB4bHzQ3vdB/OFOPya2iI7YdcVR5DNUro1rY=,41,30,149,149,1,20170311,20170411,0
8xoUt1mZzr5+MmZdT2WhjwHp1YAajaC6K0LqEXxrF8c=,41,30,99,99,1,20170322,20170422,0
AYIgHl58FCQCBcp0jRtlVNcODIpaL+xUyTowqwLmxtQ=,41,30,149,149,1,20151220,20181122,0
AwSC/GfNEWHC7PC3l3hTJWy/TFP1IP/wTW4UImEpYdY=,36,30,180,180,1,20170329,20170506,0
B8dLk/Yvt0cvkqGlCPCcJV8UHQ3VhX5t+gnQUQXWUic=,41,30,100,100,1,20170315,20170415,0
BJHFA2jy9jb7QG04DvnDGYSUevJ/9WkaeRCQB2LTFq4=,36,30,180,180,1,20170331,20170508,0
C55HfdKkeeP8gNzMQ93YE7IGxk7/ohvN7J/gxMz0XMo=,34,30,149,149,1,20170331,20170430,0
CMbbT3ZWOsAbOdh8uEpELtigiQCHsYahzNyswNShgCo=,41,30,129,129,1,20170326,20170427,0
DETgA76mrjZ9m/SQuimf73IHxs/eiMsJNOrbo0+j54E=,40,30,149,149,1,20170304,20170403,0
E2L3F3YALkKpVKSO0HggjhaY9uN092jH0ODgqWViH5Q=,41,30,99,99,1,20170323,20170423,0
EHNwJ5XnDhbt7Gn+EnnAX3XE7zGayZDAp68Y2qNiPmk=,41,30,99,99,1,20170325,20170425,0
